stockCode,stockName
A043360,디지아이
A043370,평화정공
A043500,드림텍
A043590,크로바하이텍
A043610,지니뮤직
A043650,국순당
A043710,서울리거
A043720,안국바이오
A043910,자연과환경
A044060,조광ILI
A044180,KD건설
A044340,위닉스
A044380,주연테크
A044450,KSS해운
A044480,바이오제네틱스
A044490,태웅
A044780,에이치케이
A044820,코스맥스비티아이
A044960,이글벳
A044990,에이치엔에스하이텍
A045020,포앤티
A045060,오공
A045100,한양이엔지
A045300,성우테크론
A045340,토탈소프트
A045390,대아티아이
A045510,정원엔시스
A045520,크린앤사이언스
A045660,에이텍
A045890,GV
A045970,코아시아홀딩스
A046070,코다코
A046110,한일네트웍스
A046120,오르비텍
A046140,SBS콘텐츠허브
A046210,파나진
A046290,효성캐피탈
A046310,백금T&A
A046390,삼화네트웍스
A046400,루트원플러스
A046440,KG모빌리언스
A046890,서울반도체
A046940,우원개발
A046970,우리로
A047040,대우건설
A047050,포스코대우
A047080,한빛소프트
A047310,파워로직스
A047400,유니온머티리얼
A047560,이스트소프트
A047730,텔라움
A047770,코데즈컴바인
A047810,한국항공우주
A047820,초록뱀
A047920,씨트리
A048260,오스템임플란트
A048410,현대바이오
A048430,유라테크
A048470,대동스틸
A048530,인트론바이오
A048550,SM C&C
A048770,TPC
A048830,엔피케이
A048870,시너지이노베이션
A048910,대원미디어
A049070,인탑스
A049080,기가레인
A049120,파인디앤씨
A049130,하우리
A049180,셀루메드
A049410,아주엠씨엠
A049430,코메론
A049470,SGA
A049480,오픈베이스
A049520,유아이엘
A049550,잉크테크
A049630,재영솔루텍
A049720,고려신용정보
A049770,동원F&B
A049800,우진플라임
A049830,승일
A049950,미래컴퍼니
A049960,쎌바이오텍
A050090,휘닉스소재
A050110,캠시스
A050120,라이브플렉스
A050320,에이앤티앤
A050480,마이다스IT
A050540,한국코퍼레이션
A050760,에스폴리텍
A050860,아세아텍
A050890,쏠리드
A050960,수산아이앤티
A051160,지어소프트
A051360,토비스
A051370,인터플렉스
A051380,피씨디렉트
A051390,YW
A051490,나라엠앤디
A051500,CJ프레시웨이
A051600,한전KPS
A051630,진양화학
A051780,큐로홀딩스
A051810,모보
A051900,LG생활건강
A051905,LG생활건강우
A051910,LG화학
A051915,LG화학우
A051980,중앙리빙테크
A052020,에스티큐브
A052190,이에스에이
A052220,iMBC
A052260,SK바이오랜드
A052300,W홀딩컴퍼니
A052330,코텍
A052400,코나아이
A052420,오성첨단소재
A052460,아이크래프트
A052510,에코솔루션
A052600,한네트
A052670,제일바이오
A052690,한전기술
A052710,아모텍
A052770,와이디온라인
A052790,액토즈소프트
A052860,아이앤씨
A052900,KMH하이텍
A053030,바이넥스
A053050,지에스이
A053060,세동
A053110,소리바다
A053160,프리엠스
A053210,스카이라이프
A053260,금강철강
A053270,구영테크
A053280,예스24
A053290,NE능률
A053300,한국정보인증
A053350,이니텍
A053450,세코닉스
A053580,웹케시
A053590,한국테크놀로지
A053610,프로텍
A053620,태양
A053660,현진소재
A053690,한미글로벌
A053700,삼보모터스
A053800,안랩
A053950,경남제약
A053980,오상자이엘
A054040,한국컴퓨터
A054050,농우바이오
A054090,삼진엘앤디
A054180,중앙오션
A054190,한국우사회
A054210,이랜텍
A054220,비츠로시스
A054300,팬스타엔터프라이즈
A054340,피앤텔
A054410,케이피티유
A054450,텔레칩스
A054540,삼영엠텍
A054620,APS홀딩스
A054630,에이디칩스
A054670,대한뉴팜
A054780,키이스트
A054800,아이디스홀딩스
A054920,한컴시큐어
A054930,유신
A054940,엑사이엔씨
A054950,제이브이엠
A055490,테이팩스
A055550,신한지주
A056000,신스타임즈
A056080,유진로봇
A056090,유앤아이
A056190,에스에프에이
A056360,코위버
A056700,신화인터텍
A056730,포스링크
A056880,휘라포토닉스
A057030,와이비엠넷
A057050,현대홈쇼핑
A057500,SKC 솔믹스
A057540,옴니시스템
A057680,옴니텔
A057880,토필드
A058110,멕아이씨에스
A058220,아리온
A058400,KNN
A058420,제이웨이
A058430,포스코강판
A058450,일야
A058470,리노공업
A058530,슈펙스비앤피
A058610,에스피지
A058630,엠게임
A058650,세아홀딩스
A058730,다스코
A058820,CMG제약
A058850,KTcs
A058860,케이티스
A058970,엠로
A059090,미코
A059100,아이컴포넌트
A059120,아진엑스텍
A059210,메타바이오메드
A060150,인선이엔티
A060230,이그잭스
A060240,룽투코리아
A060250,NHN한국사이버결제
A060260,뉴보텍
A060280,큐렉소
A060300,레드로버
A060310,3S
A060370,KT서브마린
A060380,동양에스텍
A060480,국일신동
A060540,에스에이티
A060560,홈센타홀딩스
A060570,아이리버
A060590,씨티씨바이오
A060720,KH바텍
A060900,퍼시픽바이오
A060980,한라홀딩스
A061040,알에프텍
A061250,화일약품
A061610,투에버
A061970,엘비세미콘
A062760,코스텍시스
A06276K,코스텍2우
A06276L,코스텍3우
A062860,티엘아이
A063080,게임빌
A063160,종근당바이오
A063170,서울옥션
A063180,유니텍
A063440,SM Life Design
A063570,한국전자금융
A063760,이엘피
A064090,에프앤리퍼블릭
A064240,홈캐스트
A064260,다날
A064290,인텍플러스
A064350,현대로템
A064480,브리지텍
A064510,에코마이스터
A064520,바른전자
A064550,바이오니아
A064760,티씨케이
A064800,필링크
A064820,케이프
A064850,에프앤가이드
A064960,S&T모티브
A065050,조인트리
A065060,지엔코
A065130,탑엔지니어링
A065150,MP그룹
A065160,에프티이앤이
A065170,넥스트BT
A065310,더스텔라
A065350,신성델타테크
A065370,위세아이텍
A065420,에스아이리소스
A065440,이루온
A065450,빅텍
A065500,오리엔트정공
A065510,휴비츠
A065530,전파기지국
A065560,녹원씨엔아이
A065570,삼영이엔씨
A065620,제낙스
A065650,메디프론
A065660,안트로젠
A065680,우주일렉트로
A065690,대진디엠피
A065710,서호전기
A065770,CS
A065940,바이오빌
A065950,웰크론
A066110,한프
A066130,하츠
A066190,삼중테크
A066310,큐에스아이
A066360,체리부로
A066400,HANATOURIST
A066410,버킷스튜디오
A066430,와이오엠
A066570,LG전자
A066575,LG전자우
A066590,우수AMS
A066620,국보디자인
A066670,디스플레이텍
A066700,테라젠이텍스
A066790,씨씨에스
A066830,제노텍
A066870,비트로시스
A066900,디에이피
A066910,손오공
A066970,엘앤에프
A066980,브레인콘텐츠
A067000,조이시티
A067010,이씨에스
A067080,대화제약
A067160,아프리카TV
A067170,오텍
A067280,멀티캠퍼스
A067290,JW신약
A067310,하나마이크론
A067370,선바이오
A067390,아스트
A067570,엔브이에이치코리아
A067630,에이치엘비생명과학
A067730,로지시스
A067770,세진티에스
A067830,세이브존I&C
A067900,와이엔텍
A067920,이글루시큐리티
A067990,도이치모터스
A068050,팬엔터테인먼트
A068240,다원시스
A068270,셀트리온
A068290,삼성출판사
A068330,일신바이오
